"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Xander Schauffele",2.333,280.4,1.341,1.188,0.716,0.43,69.93,15,178,79,16,25,47
"Keith Mitchell",2.198,288.7,-0.361,0.476,0.774,0.948,70.519,37,185,84,19,35,39
"Justin Thomas",2.156,297.1,-0.063,2.071,-0.029,0.114,70.054,17,178,72,14,25,79
"Talor Gooch",2.091,294.1,0.065,1.549,0.203,0.339,69.685,11,183,91,9,13,73
"Patrick Cantlay",2.087,317.5,0.06,0.991,0.628,0.468,69.468,7,183,86,12,27,83
"Chez Reavie",1.894,294.2,-0.152,1.318,0.179,0.396,70.426,32,175,73,22,42,93
"Jon Rahm",1.783,294,-0.177,0.743,1.069,-0.029,70.696,53,188,99,9,16,66
"Lucas Glover",1.683,299.9,0.138,0.739,0.487,0.457,69.711,12,188,88,6,15,149
"Luke List",1.643,316.3,1.072,0.342,1.327,-0.027,70.237,22,188,86,12,20,66
"Webb Simpson",1.536,276.3,0.289,1.282,0.079,0.175,69.674,9,188,84,7,14,117
"Corey Conners",1.51,296.1,-0.381,0.539,0.636,0.334,70.511,36,183,86,19,34,150
"Emiliano Grillo",1.449,300.9,-0.514,1.441,0.246,-0.239,70.202,20,175,64,16,27,66
"J.B. Holmes",1.44,292.1,0.668,0.103,0.317,1.02,70.496,35,180,86,20,27,25
"Rickie Fowler",1.435,291.4,1.04,0.923,0.605,-0.094,68.857,1,175,68,1,7,34
"Joaquin Niemann",1.427,299.6,-1.147,0.768,0.61,0.049,71.446,126,183,69,15,34,100
"Phil Mickelson",1.42,315.3,0.308,0.341,0.326,0.753,69.457,6,191,91,6,12,36
"Marc Leishman",1.375,291.4,0.968,0.987,0.251,0.137,69.367,4,188,91,19,28,80
"Gary Woodland",1.339,299.3,-0.025,0.938,0.336,0.066,69.865,14,185,88,15,37,107
"Cameron Smith",1.337,306.8,-0.076,0.975,0.259,0.103,70.721,59,180,78,13,26,33
"Kevin Tway",1.329,308.8,0.068,0.468,0.337,0.524,70.911,74,191,84,17,28,119
"Rory McIlroy",1.322,294.1,0.352,0.346,1.185,-0.209,72.284,179,178,73,7,10,39
"D.J. Trahan",1.313,303.1,-0.424,0.854,0.503,-0.044,70.698,54,191,84,6,16,70
"Dustin Johnson",1.269,296.8,0.406,-0.207,0.373,1.102,71.409,123,193,86,4,5,40
"Chesson Hadley",1.119,298.4,-0.031,1.315,-0.076,-0.12,71.502,131,193,73,16,30,74
"Ian Poulter",1.099,290.1,-0.756,-0.031,0.411,0.719,70.903,73,185,86,17,25,84
"Matt Kuchar",1.089,291.6,0.048,0.829,0.248,0.012,69.444,5,193,88,7,12,131
"Sungjae Im",1.065,302.9,0.354,0.177,0.825,0.064,70.181,19,183,90,18,43,171
"Abraham Ancer",1.058,298.8,0.43,0.193,0.847,0.019,70.271,24,170,70,15,31,96
"Bill Haas",1.028,290.2,0.339,-0.1,0.215,0.913,71.231,108,188,84,10,19,81
"Ryan Moore",1.026,298,0.765,0.801,0.297,-0.072,71.673,148,175,77,13,30,75
"Aaron Baddeley",1.011,287.4,0.191,0.575,0.099,0.338,70.408,30,183,80,6,15,95
"Matt Every",0.964,289.8,0.708,0.705,0.214,0.044,69.684,10,180,86,9,14,68
"Ryan Palmer",0.945,307.6,0.246,0.697,-0.161,0.408,70.779,65,180,79,18,32,37
"Tony Finau",0.892,320.6,-0.168,-0.378,0.469,0.801,68.902,2,193,91,14,23,38
"Keegan Bradley",0.888,286.7,-1.296,0.543,0.063,0.282,70.789,68,191,86,13,17,86
"Sam Ryder",0.874,297.4,0.703,0.556,0.121,0.197,70.552,40,188,79,29,44,112
"Stewart Cink",0.868,299.3,0.518,-0.518,0.562,0.824,71.045,89,193,93,13,25,38
"Charles Howell III",0.856,297.7,0.538,0.377,0.342,0.137,70.318,28,180,70,17,33,130
"Kyle Stanley",0.817,301.4,0.445,0.357,0.261,0.2,70.784,67,180,75,18,33,32
"Davis Love III",0.784,298.5,-0.314,1.133,-0.602,0.252,70.573,41,191,79,14,24,103
"Sebastián Muñoz",0.772,298.8,-0.462,-0.111,0.225,0.658,71.279,114,183,83,22,46,137
"Austin Cook",0.76,283.1,-1.019,1.127,0.324,-0.691,70.632,46,170,73,16,30,55
"J.J. Spaun",0.72,291.7,-0.234,0.75,0.02,-0.05,70.738,60,175,83,16,33,112
"Cameron Champ",0.717,320.1,0.753,0,1.08,-0.363,69.754,13,183,79,10,23,189
"Scott Piercy",0.662,291.6,-0.436,0.458,0.137,0.066,70.759,62,183,84,19,37,166
"Joel Dahmen",0.626,294.5,-0.253,0.136,0.502,-0.012,70.704,55,180,80,18,41,143
"Kevin Streelman",0.607,290.6,-0.731,0.31,0.515,-0.219,72.003,163,178,79,11,26,123
"Cameron Davis",0.59,313.9,-0.146,0.323,0.279,-0.012,70.977,83,193,82,17,26,106
"Dylan Frittelli",0.582,299.9,-0.022,-0.137,0.624,0.096,70.885,71,188,81,16,28,122
"Roberto Castro",0.576,286.5,0.219,0.775,-0.282,0.084,70.755,61,183,77,9,21,157
"Beau Hossler",0.571,302.5,0.142,0.304,-0.201,0.468,71.551,134,185,88,18,34,52
"Harold Varner III",0.569,302.9,0.442,-0.04,0.346,0.264,70.08,18,173,77,13,24,130
"Rory Sabbatini",0.568,295.9,-0.661,0.307,0.356,-0.096,71.103,94,178,75,9,19,96
"Patton Kizzire",0.553,287.6,0.718,0.301,-0.066,0.318,71.208,105,196,98,24,48,111
"Hideki Matsuyama",0.536,305.1,-0.274,0.669,0.115,-0.248,70.762,63,180,90,15,25,31
"Hank Lebioda",0.532,288.2,-0.648,0.12,0.177,0.235,71.067,91,180,81,9,23,111
"Zach Johnson",0.506,284.3,0.918,0.577,-0.292,0.221,70.337,29,180,74,6,11,60
"Ernie Els",0.483,283.6,0.26,-0.231,0.104,0.61,71.505,132,191,95,19,24,30
"Bud Cauley",0.465,296.9,-0.038,0.023,-0.15,0.592,70.968,81,170,73,11,19,83
"Nick Watney",0.452,296.4,-0.163,0.452,0.184,-0.185,70.922,77,188,82,14,36,97
"Robert Streb",0.449,286.9,0.146,0.364,-0.226,0.311,71.041,88,178,75,17,35,150
"Jim Furyk",0.418,281.1,-1.212,-0.043,0.223,0.238,70.287,25,188,84,3,6,36
"James Hahn",0.417,292.4,-0.336,0.227,0.306,-0.116,71.606,139,185,82,17,28,92
"Nate Lashley",0.396,287.6,0.73,0.653,-0.119,-0.139,70.437,33,183,86,6,19,116
"Russell Knox",0.395,296.4,-0.415,0.367,-0.177,0.205,71.629,142,178,72,6,11,71
"Brendan Steele",0.387,315.2,-0.88,-0.261,0.764,-0.116,71.919,158,188,79,10,24,69
"Martin Laird",0.385,294.3,0.37,0.333,-0.237,0.289,70.942,78,188,86,14,25,94
"Jonathan Byrd",0.375,276.9,0.231,0.508,-0.412,0.279,71.111,95,175,75,8,16,103
"Richy Werenski",0.371,291.8,0.335,0.211,0.284,-0.125,70.418,31,183,74,15,26,139
"Patrick Rodgers",0.36,304.9,0.673,0.544,0.009,-0.194,70.672,50,188,83,15,30,130
"Paul Casey",0.336,280.7,-0.463,0.362,-0.08,0.054,71.019,86,178,82,15,33,65
"Jim Herman",0.298,288,-0.571,0.715,0.222,-0.639,72.012,164,183,77,9,23,95
"Harris English",0.29,298.7,0.244,-0.031,-0.071,0.392,71.024,87,191,84,20,37,170
"Matt Jones",0.285,294.4,-0.112,-0.286,0.419,0.153,71.818,154,183,77,18,32,117
"J.T. Poston",0.28,296.4,0.136,0.381,0.088,-0.19,70.522,38,188,74,24,43,139
"Tom Hoge",0.268,286.2,-0.198,0.654,-0.339,-0.046,71.864,157,185,79,22,37,117
"Troy Merritt",0.264,296.6,0.327,-0.209,-0.043,0.516,71.16,99,183,73,19,31,164
"Adam Hadwin",0.221,297.9,0.259,0.362,0.786,-0.927,70.217,21,173,75,24,33,70
"Michael Thompson",0.213,295.4,0.45,0.365,0.057,-0.208,70.691,52,183,83,9,22,96
"Danny Lee",0.19,312.6,0.174,-0.152,0.608,-0.266,70.239,23,180,79,22,34,96
"Brian Stuard",0.182,276.9,0.048,-0.256,-0.199,0.637,71.685,149,178,79,25,47,146
"Kevin Na",0.178,311,-1.939,-1.146,0.177,1.147,72.151,171,180,76,17,31,20
"Jason Day",0.156,302.6,0.518,-0.981,0.35,0.787,70.708,56,183,88,6,15,48
"Graeme McDowell",0.137,289.9,0.918,0.293,0.006,-0.163,70.631,45,178,73,15,26,73
"Brandt Snedeker",0.132,297.1,1.132,0.116,-0.265,0.281,71.392,121,185,84,20,38,107
"Kramer Hickok",0.128,290.1,-0.806,-0.179,0.247,0.06,71.286,116,180,80,13,27,129
"Adam Schenk",0.124,300.2,0.62,0.33,0.124,-0.33,70.78,66,188,86,15,31,131
"Bubba Watson",0.122,292.8,-2.082,0.135,0.633,-0.646,73.96,212,191,82,4,8,59
"Martin Trainer",0.095,311.3,-0.51,-0.756,0.649,0.202,72.133,170,185,80,15,27,87
"Trey Mullinax",0.094,301.7,-1.003,-0.24,0.425,-0.092,71.477,130,193,88,14,28,111
"Hudson Swafford",0.09,298,0.302,0.081,-0.184,0.192,70.81,70,191,91,28,43,164
"Patrick Reed",0.079,293.9,0.139,-0.407,0.462,0.024,70.686,51,183,91,12,21,76
"Kevin Kisner",0.033,287.3,0.458,0.356,0.29,-0.614,70.667,49,178,75,12,27,81
"Andrew Putnam",0.032,284.8,1.936,0.488,-0.652,0.196,70.538,39,185,77,22,34,91
"Jim Knous",0.014,295.7,-0.322,0.304,0.039,-0.33,71.39,120,185,81,8,22,85
"Andres Romero",0.005,292.1,0.665,0.322,0.166,-0.483,71.636,145,178,75,6,12,36
"Si Woo Kim",0.001,298.9,0.947,-0.089,-0.438,0.527,70.307,27,180,83,22,41,65
"Scott Stallings",-0.001,299.7,-0.868,0.481,-0.003,-0.479,72.84,200,183,88,10,27,82
"Sam Burns",-0.028,304.6,0.008,-0.179,0.283,-0.132,71.466,129,185,83,11,26,119
"Peter Uihlein",-0.038,295,0.868,-0.04,-0.124,0.127,71.817,153,185,86,18,36,75
"Wes Roach",-0.039,291.9,0.063,-0.324,0.188,0.097,71.358,119,191,84,12,31,148
"Carlos Ortiz",-0.041,301.1,0.339,-0.212,0.233,-0.062,71.346,118,183,68,17,37,146
"Jimmy Walker",-0.043,304.9,0.304,0.423,-0.366,-0.1,71.131,97,188,82,9,21,24
"Josh Teater",-0.049,288.8,-0.706,-0.023,-0.151,0.126,71.619,141,178,82,11,27,95
"Scott Brown",-0.059,285.7,0.282,-0.369,-0.035,0.345,71.089,93,173,77,14,29,108
"Aaron Wise",-0.077,304.5,-0.073,-0.374,0.471,-0.174,71.208,105,185,82,7,20,88
"Ted Potter, Jr.",-0.079,278.1,-0.458,0.335,0.104,-0.518,71.662,147,180,82,18,37,128
"Denny McCarthy",-0.082,291.1,1.128,-0.374,0.314,-0.023,70.716,58,175,75,13,27,128
"Brice Garnett",-0.106,284.6,-0.148,-0.298,0.433,-0.241,70.916,76,180,79,9,21,142
"Brandon Hagy",-0.111,312.2,-0.574,-0.269,0.577,-0.419,72.532,185,180,72,5,16,52
"Andrew Landry",-0.12,282.5,-0.393,0.027,0.112,-0.259,71.984,161,170,68,14,24,149
"Sung Kang",-0.128,295.1,0.138,-0.026,-0.088,-0.014,70.991,85,173,75,24,35,82
"Fabián Gómez",-0.133,288,-0.254,-0.353,0.206,0.014,71.507,133,173,74,14,31,151
"Bronson Burgoon",-0.135,294.7,-0.384,-0.297,0.352,-0.189,71.634,143,188,86,20,33,73
"Jonas Blixt",-0.149,288.6,-0.097,-0.033,0.029,-0.145,71.562,136,178,74,13,26,110
"Roger Sloan",-0.154,297.6,-0.001,-0.075,-0.094,0.016,71.277,113,188,79,17,31,135
"Ryan Armour",-0.203,273.6,0.604,0.097,-0.302,0.001,70.657,48,175,77,21,35,124
"Russell Henley",-0.207,287.7,-0.517,-0.025,0.076,-0.259,71.716,150,183,82,10,29,91
"David Hearn",-0.208,273,-0.137,0.374,-0.198,-0.384,71.642,146,185,77,7,22,103
"Peter Malnati",-0.212,292.2,0.637,0.257,-0.565,0.095,70.983,84,178,72,14,28,109
"Cody Gribble",-0.218,289.2,-0.295,0.092,-0.55,0.241,72.104,169,175,75,11,22,91
"Chris Kirk",-0.23,283,-0.465,-0.086,-0.226,0.082,71.634,143,191,79,28,42,124
"Justin Rose",-0.235,306.9,1.203,-1.057,-0.033,0.855,69.632,8,191,88,13,18,13
"Nick Taylor",-0.254,296.2,0.307,-0.184,0.078,-0.149,71.283,115,183,77,13,31,127
"Hunter Mahan",-0.255,295.5,0.004,-0.108,0.262,-0.409,71.588,138,180,79,12,21,123
"Vaughn Taylor",-0.274,285.5,0.438,-0.114,-0.209,0.048,70.969,82,183,73,19,33,147
"Kelly Kraft",-0.286,296.7,-0.424,0.056,-0.424,0.082,71.261,110,183,79,12,21,68
"Ryan Blaum",-0.297,290.1,0.105,-0.236,-0.223,0.161,71.223,107,173,75,24,42,173
"Kyoung-Hoon Lee",-0.337,285,0.122,0.002,-0.156,-0.184,71.847,156,175,80,22,35,102
"Chris Thompson",-0.342,291.3,-0.264,-0.381,0.063,-0.023,72.692,196,188,88,9,27,76
"Cameron Tringale",-0.345,288.3,-0.207,0.176,-0.813,0.292,72.231,175,188,84,8,16,67
"Brian Harman",-0.378,281,-0.636,-1.477,0.476,0.623,72.66,192,170,68,20,35,61
"Anirban Lahiri",-0.401,297.8,0.339,-0.279,-0.213,0.091,71.178,100,175,79,17,26,77
"Dominic Bozzelli",-0.424,295.8,1.064,-0.372,-0.091,0.04,70.013,16,183,81,20,34,124
"Billy Horschel",-0.456,278.6,-1.12,-0.763,0.167,0.14,71.832,155,183,79,8,22,44
"J.J. Henry",-0.461,287.2,-0.845,-0.196,-0.167,-0.097,73.153,208,191,91,8,22,80
"Jordan Spieth",-0.488,293.8,0.394,0.14,-0.489,-0.138,71.049,90,185,79,4,18,41
"Adam Long",-0.505,295.7,-0.457,-0.068,-0.054,-0.383,71.465,127,178,73,5,13,92
"Jason Dufner",-0.506,287.3,-0.657,-0.591,-0.325,0.411,72.24,176,178,82,23,44,79
"Max Homa",-0.548,299.3,-0.45,0.343,-0.216,-0.675,72.632,189,185,82,13,29,89
"Chris Stroud",-0.578,288.3,-0.173,0.302,-0.84,-0.04,72.614,188,188,82,8,15,68
"Wyndham Clark",-0.614,314.8,0.43,-0.824,0.032,0.178,71.146,98,183,78,23,40,139
"Brian Gay",-0.638,279.1,1.258,-0.503,-0.294,0.158,71.291,117,178,75,17,47,118
"Robert Garrigus",-0.644,297.5,0.554,0.892,-1.082,-0.454,72.416,182,180,86,9,11,58
"Rod Pampling",-0.662,296.8,-0.582,-0.671,-0.306,0.315,72.283,178,178,79,17,31,43
"Sangmoon Bae",-0.682,296.3,-0.337,-0.611,0.317,-0.389,72.478,183,183,82,13,24,85
"Brooks Koepka",-0.694,289.5,-0.382,0.078,-0.902,0.13,70.708,56,183,92,7,14,36
"Alex Cejka",-0.732,276.3,0.368,-0.047,-0.179,-0.506,71.789,151,178,77,14,21,85
"Sean O'Hair",-0.807,290.3,-0.113,-0.409,-0.019,-0.379,71.414,124,188,82,16,24,97
"Mackenzie Hughes",-0.809,300,-0.326,-0.45,-0.518,0.159,72.318,180,185,82,15,27,68
"Stuart Appleby",-0.816,268.2,0.631,0.466,-1.007,-0.275,71.434,125,185,84,7,9,59
"Nicholas Lindheim",-0.826,285.3,0.544,-0.172,-0.435,-0.218,72.091,168,188,74,3,11,52
"John Huh",-0.828,282.6,-0.739,-0.34,-0.085,-0.403,72.576,187,183,86,13,29,92
"Jamie Lovemark",-0.848,290.4,0.001,-0.576,-0.217,-0.055,71.613,140,193,98,28,46,55
"Shawn Stefani",-0.853,287.3,-0.039,-0.622,-0.101,-0.13,72.081,166,188,93,13,21,111
"Satoshi Kodaira",-0.873,284.7,-0.614,-0.274,-0.261,-0.338,72.68,194,170,68,6,15,118
"Tyler Duncan",-0.878,288.3,-0.924,-0.533,0.062,-0.407,72,162,173,68,17,37,156
